model,algorithm,seed,delta,n_samples,accept_rate,rejections,time,proposal_std,step_size,n_leapfrog,Delta_max,length,gamma,T,h,n_steps_per_transition,n_adapt,lambda,epsilon0,final_epsilon,final_epsilon_bar,eps_min,eps_max,max_tree_depth,gamma0,final_gamma,final_gamma_bar,freq_mode0,freq_mode1,n_switches,n_used_draws,ess,min_ess,sec_per_ess,sec_per_min_ess
gamma_5_1,RWMH,11,,10000,0.8471847184718472,1528.0,0.03418993949890137,1.0,,,,,,,,,,,,,,,,,,,,,,,10000,31.200060846906055,31.200060846906055,0.0010958292570859458,0.0010958292570859458
gamma_5_1,HMC,11,,10000,0.9997999799979999,2.0,2.388005018234253,,0.1,100.0,,,,,,,,,,,,,,,,,,,,,10000,4802.018485889969,4802.018485889969,0.0004972919253124613,0.0004972919253124613
gamma_5_1,NUTS,11,,10000,,,4.537332534790039,,0.1,,1000.0,,,,,,,,,,,,,,,,,,,,10000,456.88565735191474,456.88565735191474,0.009931002345506269,0.009931002345506269
gamma_5_1,rAHMC,11,,10000,0.9286928692869287,713.0,1.617401361465454,,0.08,,,20.0,0.4,,,,,,,,,,,,,,,,,,10000,174.27278083095902,174.27278083095902,0.009280860463426585,0.009280860463426585
gamma_5_1,uHMC,11,,10000,,,2.807051420211792,,,,,,,1.0,0.02,50.0,,,,,,,,,,,,,,,10000,74.93209064789995,74.93209064789995,0.03746127187885238,0.03746127187885238
gamma_5_1,HMC-DA,11,0.65,10000,0.7782778277827783,2217.0,0.21065354347229004,,,,,,,,,,2000.0,6.0,0.03,1.999999999761935,1.999999999761935,,,,,,,,,,8000,6068.682147338458,6068.682147338458,3.471157960788511e-05,3.471157960788511e-05
gamma_5_1,NUTS-DA,11,0.65,10000,,,0.5827877521514893,,,,1000.0,,,,,,2000.0,,0.03,1.999999999761935,1.999999999761935,1e-05,2.0,10.0,,,,,,,8000,1408.9801025939387,1408.9801025939387,0.00041362383406165525,0.00041362383406165525
gamma_5_1,rAHMC-DA,11,0.65,10000,0.6332633263326333,3667.0,11.849104881286621,,,,,,,10.2,,,2000.0,,0.1,0.06231592566231639,0.06231592566231639,,,,0.4,0.2492637026365972,0.2492637026365972,,,,8000,1720.1963047695292,1720.1963047695292,0.006888228307683847,0.006888228307683847
cauchy,RWMH,11,,10000,0.763976397639764,2360.0,0.05481767654418945,1.0,,,,,,,,,,,,,,,,,,,,,,,10000,109.04147595874966,109.04147595874966,0.000502723170813709,0.000502723170813709
cauchy,HMC,11,,10000,0.9984998499849985,15.0,0.7011396884918213,,0.15,25.0,,,,,,,,,,,,,,,,,,,,,10000,711.5178431311173,711.5178431311173,0.00098541406271187,0.00098541406271187
